num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
5,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3513372,11.25,0.2,1,23.9,0.95,282.94736842105266,0.05,14,0,-1,0,-1,1,0.0050864,19.153039801999977,0.7050879999999999,0.4982884405918127
6,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3914135,11.35,0.2,1,26.05,0.85,300.47058823529414,0.15,38,0,-1,0,-1,1,0.0151416,24.4502502125,0.7640703999999999,0.5122741307607258
7,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4296735000000001,11.5,0.2,1,27.85,1,297.2,0,-1,0,-1,0,-1,1,1.82e-4,19.000488776999983,0.8112563199999999,0.5296396335007907
8,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.46578790000000014,11.75,0.2,1,29.5,0.9,287.3888888888889,0.1,63,0,-1,0,-1,1,0.0101655,23.904632436999997,0.849005056,0.5486279459801005
9,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.50062275,11.8,0.2,1,31.2,0.85,289.1764705882353,0.15,32.333333333333336,0,-1,0,-1,1,0.0152277,26.0252976245,0.8792040447999999,0.5694045119115448
10,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5326816000000001,12,0.2,1,32.45,0.95,294,0.05,33,0,-1,0,-1,1,0.0052115,23.77489392799999,0.9033632358399999,0.5896649087171248
1,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.16720385,11,0.2,0,-1,0.9,312.1666666666667,0.1,29.5,0.15,362,0,-1,0.85,0.01002214999999999,18.68519880750007,0.32499999999999996,0.5144733846153846
2,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.2292655,10.95,0.2,1,15.9,0.9,294.05555555555554,0.1,38.5,0.05,492,0,-1,0.95,0.01005279999999999,18.832892296000075,0.49375,0.4643351898734177
3,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.28735674999999994,11,0.2,1,19,0.8,310.625,0.2,44.5,0,-1,0,-1,1,0.02007579999999999,23.49047516000008,0.6203125,0.4632451385390427
4,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3412596,11,0.2,1,21.3,1,293.4,0,-1,0,-1,0,-1,1,1.3e-4,16.63670541265003,0.715234375,0.4771297520480612
5,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.39015305,11,0.2,1,23.4,0.85,307.88235294117646,0.15,26,0,-1,0,-1,1,0.01512139999999999,23.152012823500066,0.78642578125,0.49610918067800824
6,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.43618245,11.2,0.2,1,25.05,0.7,296.07142857142856,0.3,33.666666666666664,0,-1,0,-1,1,0.03013530000000001,29.28733029300007,0.8398193359375,0.5193765269920637
7,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4773117999999999,11.1,0.2,1,26.7,0.9,292,0.1,61,0,-1,0,-1,1,0.0101224,23.23609821750002,0.879864501953125,0.5424833016225364
8,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5148132000000001,11.3,0.2,1,28.05,0.9,291.1111111111111,0.1,33.5,0,-1,0,-1,1,0.010133,24.117355710500014,0.9098983764648437,0.5657919755832109
9,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.55221345,11.7,0.2,1,29.65,1,304.95,0,-1,0,-1,0,-1,1,1.7999999999999e-4,21.13339075699999,0.9324237823486328,0.5922344114915847
10,0.25,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.58616715,11.9,0.2,1,30.85,0.75,292.6666666666667,0.25,53,0,-1,0,-1,1,0.02518695,30.442823895500084,0.9493178367614746,0.6174614310415408
1,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.17623885,10.6,0.2,0,-1,1,294.8,0,-1,0.15,462.3333333333333,0,-1,0.85,2.4e-5,14.000888325000014,0.37,0.4763212162162162
2,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.24647090000000005,10.8,0.2,1,16,0.9,304.44444444444446,0.1,32.5,0.1,413.5,0,-1,0.9,0.0100297,19.180862785000013,0.559,0.44091395348837215
3,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3104382499999999,11,0.2,1,19,0.9,304.5,0.1,31.5,0,-1,0,-1,1,0.010054,20.013942638999996,0.6913,0.4490644438015332
4,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3688115,11,0.2,1,20.95,1,300.4,0,-1,0,-1,0,-1,1,4.350000000000001e-5,16.77223596400001,0.7839100000000001,0.4704768404536235
5,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.42338125,11.05,0.2,1,22.9,0.9,286.3333333333333,0.1,27.5,0,-1,0,-1,1,0.0100792,21.115376921000024,0.8487370000000001,0.49883680103494954
6,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4721912,11,0.2,1,24.1,0.8,285.3125,0.2,42,0,-1,0,-1,1,0.02009645,25.502048968000047,0.8941159000000001,0.5281096108457527
7,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5166594499999999,11,0.2,1,25.5,0.8,283.75,0.2,32.75,0,-1,0,-1,1,0.02015375,25.791360710000028,0.92588113,0.5580192027458211
8,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.55849575,11.05,0.2,1,26.9,0.9,286.72222222222223,0.1,24,0,-1,0,-1,1,0.01013245,23.24694953500004,0.948116791,0.589057967648629
9,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.59409285,11.5,0.2,1,28.25,0.9,289.1666666666667,0.1,59.5,0,-1,0,-1,1,0.01014895,23.970889353000032,0.9636817537,0.6164824100062236
10,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.6289116500000002,11.85,0.2,1,29.4,0.95,289.7368421052632,0.05,25,0,-1,0,-1,1,0.0051434,23.060202755000027,0.97457722759,0.6453174075852512
1,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.18472125,10.35,0.2,0,-1,0.85,302.2352941176471,0.15,20.333333333333332,0.35,406.1428571428572,0,-1,0.65,0.01502365,19.25554826500001,0.4149999999999999,0.4451114457831326
2,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.26044854999999995,10.4,0.2,1,16.05,0.75,294,0.25,32.8,0.15,455.6666666666667,0,-1,0.85,0.02502785,23.65338953550002,0.61975,0.42024776119402973
3,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3315640000000001,10.9,0.2,1,18.65,0.9,287.94444444444446,0.1,31.5,0,-1,0,-1,1,0.01003849999999999,19.614937226500007,0.7528375,0.44041908114300904
