num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
3,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.6327261500000001,14.3,0.2,1,31.85,0.85,286.29411764705884,0.15,78.66666666666667,0,-1,0,-1,1,0.0150486,27.417320573500017,0.6913,0.9152699985534501
4,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.7293642499999999,14.95,0.2,1,34.15,0.8,286.3125,0.2,27,0,-1,0,-1,1,0.02005714999999999,31.370620904500033,0.7839100000000001,0.9304183515964841
5,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.7994615000000002,15,0.2,1,36.15,1,292.8,0,-1,0,-1,0,-1,1,1.155e-4,26.305292847000032,0.8487370000000001,0.9419425569994004
6,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.8508733000000002,15.05,0.2,1,37.9,1,284.8,0,-1,0,-1,0,-1,1,1.215e-4,27.550852981500036,0.8941159000000001,0.9516364712896841
7,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.8885662999999997,15.55,0.2,1,39.25,0.9,275.1111111111111,0.1,29.5,0,-1,0,-1,1,0.0101326,32.559593500000034,0.92588113,0.959698033806996
8,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.9185269,15.95,0.2,1,41,0.95,294.36842105263156,0.05,21,0,-1,0,-1,1,0.00512,32.206194374500036,0.948116791,0.9687908796881544
9,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.9391402499999998,16.05,0.2,1,42.45,0.85,283.88235294117646,0.15,33.666666666666664,0,-1,0,-1,1,0.0151365,37.17202365250005,0.9636817537,0.9745336013618868
10,0.3,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.9548329999999998,16.6,0.2,1,43.65,0.9,274.3888888888889,0.1,21,0,-1,0,-1,1,0.0101692,35.58218677100004,0.97457722759,0.9797407254848084
1,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.36287085,13.4,0.2,1,23.75,0.9,294.6666666666667,0.1,40,0.3,393.1666666666667,0,-1,0.7,0.01000875,20.25063634500004,0.4149999999999999,0.874387590361446
2,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.5486147,13.9,0.2,1,27.55,0.95,297.6842105263158,0.05,19,0,-1,0,-1,1,0.00503849999999999,21.897425161000044,0.61975,0.8852193626462282
3,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.6799162000000001,14.1,0.2,1,29.85,0.8,301.5625,0.2,28,0,-1,0,-1,1,0.0200506,29.387872046500043,0.7528375,0.9031380610025405
4,0.35,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.7727556000000001,14.5,0.2,1,31.75,0.8,296.625,0.2,46.5,0,-1,0,-1,1,0.0200749,31.51965642050002,0.839344375,0.92066572793795165
